id,playerId,characterId,masteryPoints,wins,losses
275,36,12,20,8,21
151,6,3,-20,0,2
257,5,9,90,3,0
216,24,7,75,5,5
235,44,5,40,3,6
285,11,11,128,4,3
251,17,11,70,5,4
190,40,7,415,22,13
236,11,2,60,2,0
178,33,10,407,17,75
241,11,4,280,11,6
177,38,10,20,2,10
212,8,5,20,1,3
171,6,4,725,44,47
260,2,11,45,4,4
270,59,4,240,7,20
268,2,12,-25,1,4
271,16,11,0,0,4
147,19,1,970,41,9
189,44,2,185,8,10
174,19,6,-10,4,9
266,29,9,273,29,29
220,29,1,170,25,11
249,16,12,30,2,5
327,63,8,40,1,1
301,25,9,20,1,1
291,8,11,-10,0,1
307,60,5,40,2,2
355,8,1,-5,0,1
330,63,10,30,1,1
295,49,11,0,0,1
331,63,3,30,1,1
388,38,14,235,9,6
369,73,12,60,3,9
363,18,14,195,11,13
414,83,2,85,3,3
425,83,4,5,1,0
315,51,2,0,0,1
300,62,11,40,1,0
305,7,11,0,0,2
368,73,2,145,5,5
294,51,9,0,0,2
395,73,1,63,2,6
309,60,12,10,2,2
403,83,16,0,0,1
374,4,14,0,0,1
332,63,11,0,0,1
375,75,6,0,0,1
423,60,16,0,0,3
430,1,15,535,81,48
350,7,7,0,0,1
416,83,14,85,6,6
412,40,14,20,1,1
310,60,10,-20,0,3
356,7,3,0,0,1
312,60,9,50,2,0
340,63,2,80,2,0
250,1,3,25,5,3
392,74,14,952,77,54
407,38,16,128,4,5
288,60,7,-37,0,6
282,60,4,25,1,3
306,60,6,55,2,3
289,60,8,-40,0,5
383,36,9,-70,1,6
322,36,7,45,6,13
384,77,9,0,0,1
346,65,4,-25,1,3
353,38,4,298,9,8
341,65,2,10,2,2
400,73,16,160,8,9
359,74,12,265,39,65
343,65,12,-30,0,3
360,41,3,0,0,1
299,19,11,40,2,1
361,41,9,0,0,1
342,65,9,20,1,1
319,19,12,15,1,2
298,40,6,95,6,6
320,12,12,40,1,0
377,29,14,155,14,9
421,18,12,260,14,13
409,1,14,520,65,40
352,69,4,40,1,0
379,59,1,0,0,1
373,73,9,15,2,8
337,63,12,40,1,0
303,29,5,-30,3,5
338,63,6,0,0,1
325,63,7,80,2,0
326,63,5,40,1,1
281,60,2,225,12,10
329,63,4,40,1,1
351,11,10,-25,0,3
328,63,9,35,1,1
335,47,2,140,5,8
372,6,14,150,8,11
292,49,12,210,6,6
339,63,1,40,1,0
366,5,14,170,13,11
405,38,2,300,9,1
380,41,14,40,1,1
419,83,9,10,1,0
396,29,15,45,12,19
413,40,16,40,1,2
333,65,7,558,21,18
386,25,14,-10,4,7
318,25,2,30,2,3
362,74,3,69,43,84
354,36,3,20,1,0
293,25,11,283,25,16
302,29,6,225,19,8
345,65,11,-25,2,4
406,73,7,135,5,5
398,36,15,-50,13,22
410,25,16,520,24,27
371,74,10,524,86,100
267,1,7,625,76,45
391,74,11,696,90,119
358,44,8,120,3,1
411,40,15,40,2,1
420,18,16,380,26,12
402,61,10,305,33,32
290,60,11,235,10,15
381,73,6,40,1,1
417,83,8,95,5,3
370,73,11,320,10,6
