id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
138,,1,2,1,17,9,,1744002140547
139,,1,3,1,18,6,,1744002422491
140,,1,17,1,6,9,,1744002674456
141,,1,3,4,18,8,,1744002739432
142,,1,17,1,18,8,,1744003117302
143,,1,12,6,3,4,,1744003123424
144,,2,5,8,19,6,,1744003262978
145,,1,6,1,8,6,,1744003427787
146,,1,3,6,12,6,,1744003482710
147,,1,17,7,18,3,,1744003497578
148,,1,17,4,18,5,,1744004019016
149,,1,18,4,17,1,,1744004616072
150,,1,17,8,18,8,,1744005304193
151,,1,9,10,20,5,,1744005519962
152,,1,17,6,18,6,,1744005968183
153,,1,18,7,17,5,,1744006583227
154,,1,17,2,18,4,,1744007110169
155,,1,20,6,18,7,,1744007635810
156,,1,18,7,20,9,,1744008023400
157,,1,21,3,17,9,,1744008195986
158,,1,22,4,6,7,,1744008251921
159,,1,18,2,20,4,,1744008472602
160,,1,17,9,21,7,,1744008944758
161,,1,18,2,20,1,,1744008997132
162,,1,17,1,21,2,,1744009484782
163,,1,20,2,18,9,,1744009524957
164,,1,17,6,21,8,,1744009891431
165,,1,18,7,20,6,,1744009899654
166,,1,17,7,21,3,,1744010221520
167,,1,18,1,22,4,,1744010297436
168,,1,21,7,17,3,,1744010492520
169,,1,18,7,22,4,,1744010824730
170,,1,17,4,21,9,,1744011053702
171,,1,22,4,18,1,,1744011382362
172,,1,17,1,21,10,,1744011387890
173,,1,17,5,21,8,,1744011738099
174,,1,18,1,22,4,,1744011924361
175,,1,18,1,22,4,,1744012422209
176,,1,21,6,17,3,,1744012442320
177,,1,11,1,18,8,,1744012823407
178,,1,17,1,23,1,,1744013410826
179,,1,11,6,18,7,,1744013410905
180,,1,23,6,17,9,,1744013850782
181,,1,18,7,8,9,,1744013905862
182,,1,23,4,8,9,,1744014279076
183,,1,18,7,5,8,,1744014725574
184,,1,8,9,23,10,,1744014972990
185,,1,18,1,5,8,,1744015114984
186,,1,11,6,8,9,,1744015506972
187,,1,18,4,5,1,,1744015660512
188,,1,16,2,2,5,,1744016630501
189,,1,5,1,18,5,,1744016680625
190,,1,8,9,11,1,,1744016983377
191,,1,5,8,18,10,,1744017149151
192,,1,16,3,2,6,,1744017482848
193,,1,2,4,16,5,,1744017783221
194,,1,24,4,5,5,,1744018138473
195,,1,22,4,18,1,,1744018190910
196,,1,2,9,16,7,,1744018490692
197,,1,24,4,5,5,,1744018538619
198,,1,18,7,22,4,,1744018681159
199,,1,16,7,2,6,,1744018736182
200,,1,22,7,18,7,,1744019156078
201,,1,16,7,2,9,,1744019280863
202,,1,16,9,2,9,,1744019864079
203,,1,2,5,18,7,,1744020898088
204,,1,18,7,24,3,,1744021340274
205,,1,18,7,24,3,,1744021721783
206,,1,23,1,16,2,,1744022119835
207,,1,16,1,23,4,,1744022492907
208,,1,18,6,24,3,,1744022538197
209,,1,16,4,23,10,,1744023006532
210,,1,18,10,24,3,,1744023111956
211,,1,16,6,23,2,,1744023601078
212,,1,24,3,18,5,,1744023643194
213,,1,18,8,24,3,,1744024064669
214,,1,16,6,23,8,,1744024369539
215,,1,18,6,24,3,,1744024715937
216,,1,16,1,23,9,,1744024955019
217,,1,23,2,16,3,,1744025508409
218,,1,16,9,23,4,,1744026561625
219,,1,23,4,16,9,,1744027000184
220,,1,5,8,2,10,,1744027257195
221,,1,16,1,23,2,,1744027452036
222,,1,2,2,5,8,,1744027721612
223,,1,16,1,23,2,,1744027918712
224,,1,5,8,2,2,,1744028204922
225,,1,24,3,16,4,,1744028760328
226,,1,12,6,24,8,,1744030439938
227,,1,11,6,2,6,,1744030687913
228,,1,2,1,11,1,,1744031185327
229,,1,2,3,11,5,,1744031561758
230,,1,2,7,11,5,,1744031903878
231,,1,11,5,2,6,,1744032367990
232,,1,16,6,11,6,,1744033015560
233,,1,11,6,8,4,,1744033511605
234,,1,11,5,8,2,,1744033903928
235,,1,17,3,25,6,,1744033984386
236,,1,8,3,11,4,,1744034426817
237,,1,25,1,26,1,,1744034470925
238,,1,2,5,27,2,,1744034628976
239,,1,17,8,28,2,,1744034713994
240,,1,11,1,8,9,,1744034907602
241,,1,2,7,27,2,,1744035022376
242,,1,25,1,8,6,,1744035255729
243,,1,17,1,26,10,,1744035350774
244,,1,11,5,23,4,,1744035755383
245,,1,17,1,8,3,,1744035856363
246,,1,26,2,25,1,,1744035861720
247,,1,27,4,2,9,,1744035976825
248,,1,23,2,11,5,,1744036221217
249,,1,26,2,25,7,,1744036437146
250,,1,28,1,17,6,,1744036469592
251,,1,11,5,23,4,,1744036564360
252,,1,27,4,2,8,,1744036637327
253,,1,28,7,23,10,,1744037022884
254,,1,26,2,17,4,,1744037156316
255,,1,17,4,23,2,,1744037455713
256,,1,6,1,26,2,,1744037551092
257,,1,23,2,17,10,,1744037798713
258,,1,2,7,26,2,,1744038122690
259,,1,23,7,17,9,,1744038562583
260,,1,24,5,28,7,,1744038850462
261,,1,17,7,23,1,,1744039227444
262,,1,26,2,6,7,,1744039315959
263,,1,24,5,28,8,,1744039400075
264,,1,26,2,24,5,,1744039923924
265,,1,5,8,11,6,,1744039981256
266,,1,17,5,23,10,,1744040540481
267,,1,11,5,5,10,,1744040629563
268,,1,26,2,24,5,,1744040756760
269,,1,11,5,5,10,,1744041022932
270,,1,17,6,28,6,,1744041133105
271,,1,24,2,26,5,,1744041382313
272,,1,5,8,11,5,,1744041681409
273,,1,11,7,26,2,,1744042405316
274,,1,11,5,13,6,,1744042999155
275,,1,5,8,26,2,,1744043302631
276,,1,11,5,13,6,,1744043465786
277,,1,5,8,26,2,,1744043852774
278,,1,11,5,17,6,,1744044249550
279,,1,26,2,5,8,,1744044613253
280,,1,17,6,11,5,,1744044839632
281,,1,24,4,5,8,,1744045003925
282,,1,12,2,28,3,,1744045497204
283,,1,5,8,12,6,,1744046435706
284,,1,12,6,5,8,,1744046902336
285,,1,8,6,28,8,,1744048106388
286,,1,24,4,18,7,,1744048274316
287,,1,3,4,5,8,,1744050053878
288,,1,3,4,5,8,,1744050635879
289,,1,24,1,22,4,,1744050653847
