id,ladderId,startDate,endDate
1,1,1743921792246,1746026320135
2,2,1743921793963,1746026320135
3,3,1743921795615,1746026320135
4,1,1746026320141,1748747471437
5,2,1746026320141,1748747471437
6,3,1746026320141,1748747471437
7,1,1748747471445,1751372985236
8,2,1748747471445,1751372985236
9,3,1748747471445,1751372985236
10,1,1751372985240,1754036451963
11,2,1751372985240,1754036451963
12,3,1751372985240,1754036451963
13,4,1753738196966,1754036451963
14,1,1754036451967,1756836505460
15,2,1754036451967,1756836505460
16,3,1754036451967,1756836505460
17,4,1754036451967,1756836505460
18,1,1756836505464,1759320610893
19,2,1756836505464,1759320610893
20,3,1756836505464,1759320610893
21,4,1756836505464,1759320610893
22,1,1759320610897,1777660959783
23,2,1759320610897,1777660959783
24,3,1759320610897,1777660959783
25,4,1759320610897,1777660959783
26,1,1777660959799,
27,2,1777660959799,
28,3,1777660959799,
29,4,1777660959799,
